team,ap_rank,coaches_rank,playoffs,conference,week_label,opponent,pf,pa,unweighted_spread,unweighted_odds,weighted_spread,unw_pd_vs_spread,total_ou,unw_team_ou,unw_pd_vs_team_ou,unw_opp_ou,unw_pd_vs_opp_ou,w_pd_vs_spread,weighted_team_ou,w_pd_vs_team_ou,weighted_opp_ou,w_pd_vs_opp_ou,moneyline,implied_win_pct,week,game_type
INDIANA,1,,True,BIG 10,1,Old Dominion,27,14,-23.5,-111,-24.84285714285714,-10.5,53.5,38.5,-11.5,15.0,-1.0,-11.842857142857142,39.17142857142857,-12.17142857142857,14.32857142857143,-0.3285714285714292,-2643.0,0.9635435654393001,1,regular
INDIANA,1,,True,BIG 10,2,Kennesaw State,56,9,-35.5,-107,-36.17619047619047,11.5,51.5,43.5,12.5,8.0,1.0,10.82380952380953,43.838095238095235,12.161904761904765,7.661904761904765,1.3380952380952351,,,2,regular
INDIANA,1,,True,BIG 10,3,Indiana State,73,0,-47.5,-110,-49.761904761904766,25.5,60.5,54.0,19.0,6.5,-6.5,23.238095238095234,55.13095238095238,17.86904761904762,5.369047619047617,-5.369047619047617,,,3,regular
INDIANA,1,,True,BIG 10,4,Illinois,63,10,-7.0,-105,-7.0,46.0,51.5,29.25,33.75,22.25,-12.25,46.0,29.25,33.75,22.25,-12.25,-259.0,0.7214484679665738,4,regular
INDIANA,1,,True,BIG 10,5,Iowa,20,15,-9.0,-111,-9.514285714285714,-4.0,47.5,28.25,-8.25,19.25,-4.25,-4.514285714285714,28.507142857142856,-8.507142857142856,18.992857142857144,-3.9928571428571438,-333.0,0.76905311778291,5,regular
INDIANA,1,,True,BIG 10,7,Oregon,30,20,7.0,-110,7.333333333333334,17.0,51.0,22.0,8.0,29.0,-9.0,17.333333333333336,21.833333333333332,8.166666666666668,29.166666666666668,-9.166666666666668,225.0,0.3076923076923077,7,regular
INDIANA,1,,True,BIG 10,8,Michigan State,38,13,-26.5,-110,-27.761904761904763,-1.5,49.0,37.75,0.25,11.25,1.75,-2.7619047619047628,38.38095238095238,-0.3809523809523796,10.619047619047619,2.3809523809523814,-5787.0,0.983013419398675,8,regular
INDIANA,1,,True,BIG 10,9,UCLA,56,6,-27.0,-111,-28.542857142857144,23.0,52.5,39.75,16.25,12.75,-6.75,21.457142857142856,40.52142857142857,15.478571428571428,11.978571428571428,-5.978571428571428,-5177.0,0.9810498389236308,9,regular
INDIANA,1,,True,BIG 10,10,Maryland,55,10,-21.5,-112,-22.933333333333334,23.5,50.5,36.0,19.0,14.5,-4.5,22.066666666666666,36.71666666666667,18.28333333333333,13.783333333333333,-3.783333333333333,-2665.0,0.9638336347197106,10,regular
INDIANA,1,,True,BIG 10,11,Penn State,27,24,-14.0,-111,-14.8,-11.0,51.0,32.5,-5.5,18.5,5.5,-11.8,32.9,-5.899999999999999,18.1,5.899999999999999,-636.0,0.8641304347826086,11,regular
INDIANA,1,,True,BIG 10,12,Wisconsin,31,7,-28.5,-110,-29.857142857142858,-4.5,44.0,36.25,-5.25,7.75,-0.75,-5.857142857142858,36.92857142857143,-5.928571428571431,7.071428571428571,-0.07142857142857117,-10000.0,0.9900990099009901,12,regular
INDIANA,1,,True,BIG 10,14,Purdue,56,3,-28.5,-109,-29.58571428571429,24.5,54.0,41.25,14.75,12.75,-9.75,23.41428571428571,41.792857142857144,14.207142857142856,12.207142857142856,-9.207142857142856,-7500.0,0.9868421052631579,14,regular
INDIANA,1,,True,BIG 10,15,Ohio State,13,10,3.5,-110,3.666666666666667,6.5,45.5,21.0,-8.0,24.5,-14.5,6.666666666666667,20.916666666666668,-7.916666666666668,24.583333333333332,-14.583333333333332,155.0,0.39215686274509803,15,regular
GEORGIA,2,,True,SEC,1,Marshall,45,7,-38.5,-108,-39.599999999999994,-0.5,52.0,45.25,-0.25,6.75,0.25,-1.5999999999999943,45.8,-0.7999999999999972,6.200000000000003,0.7999999999999972,-10000.0,0.9900990099009901,1,regular
GEORGIA,2,,True,SEC,2,Austin Peay,28,6,-48.0,-108,-49.37142857142857,-26.0,56.5,52.25,-24.25,4.25,1.75,-27.371428571428567,52.93571428571428,-24.935714285714283,3.5642857142857167,2.4357142857142833,,,2,regular
GEORGIA,2,,True,SEC,3,Tennessee,44,41,-3.5,-103,-3.433333333333333,-0.5,50.5,27.0,17.0,23.5,17.5,-0.4333333333333331,26.966666666666665,17.033333333333335,23.533333333333335,17.466666666666665,-172.0,0.6323529411764706,3,regular
GEORGIA,2,,True,SEC,5,Alabama,21,24,-2.5,-110,-2.619047619047619,-5.5,53.5,28.0,-7.0,25.5,-1.5,-5.619047619047619,28.05952380952381,-7.05952380952381,25.44047619047619,-1.4404761904761898,-136.0,0.576271186440678,5,regular
GEORGIA,2,,True,SEC,6,Kentucky,35,14,-19.5,-109,-20.242857142857144,1.5,48.5,34.0,1.0,14.5,-0.5,0.7571428571428562,34.371428571428574,0.6285714285714263,14.128571428571428,-0.12857142857142811,-1554.0,0.939540507859734,6,regular
GEORGIA,2,,True,SEC,7,Auburn,20,10,-4.5,-112,-4.8,5.5,46.5,25.5,-5.5,21.0,-11.0,5.2,25.65,-5.649999999999999,20.85,-10.850000000000001,-207.0,0.6742671009771987,7,regular
GEORGIA,2,,True,SEC,8,Ole Miss,43,35,-7.5,-106,-7.571428571428571,0.5,56.5,32.0,11.0,24.5,10.5,0.4285714285714288,32.035714285714285,10.964285714285715,24.464285714285715,10.535714285714285,-279.0,0.7361477572559367,8,regular
GEORGIA,2,,True,SEC,10,Florida,24,20,-7.0,-112,-7.466666666666667,-3.0,50.5,28.75,-4.75,21.75,-1.75,-3.466666666666667,28.983333333333334,-4.983333333333334,21.516666666666666,-1.5166666666666657,-286.0,0.7409326424870466,10,regular
GEORGIA,2,,True,SEC,11,Mississippi State,41,21,-9.5,-111,-10.042857142857143,10.5,56.5,33.0,8.0,23.5,-2.5,9.957142857142857,33.27142857142857,7.728571428571428,23.228571428571428,-2.2285714285714278,-353.0,0.7792494481236203,11,regular
GEORGIA,2,,True,SEC,12,Texas,35,10,-4.5,-112,-4.8,20.5,50.0,27.25,7.75,22.75,-12.75,20.2,27.4,7.600000000000001,22.6,-12.600000000000001,-181.0,0.6441281138790036,12,regular
GEORGIA,2,,True,SEC,13,Charlotte,35,3,-42.5,-110,-44.523809523809526,-10.5,53.5,48.0,-13.0,5.5,-2.5,-12.523809523809526,49.01190476190476,-14.01190476190476,4.488095238095237,-1.4880952380952372,,,13,regular
GEORGIA,2,,True,SEC,14,Georgia Tech,16,9,-16.0,-112,-17.066666666666666,-9.0,60.0,38.0,-22.0,22.0,-13.0,-10.066666666666666,38.53333333333333,-22.53333333333333,21.46666666666667,-12.466666666666669,-770.0,0.8850574712643678,14,regular
GEORGIA,2,,True,SEC,15,Alabama,28,7,-1.5,-112,-1.6,19.5,48.5,25.0,3.0,23.5,-16.5,19.4,25.05,2.9499999999999993,23.45,-16.45,-125.0,0.5555555555555556,15,regular
OHIO STATE,3,,True,BIG 10,1,Texas,14,7,-1.5,-108,-1.5428571428571427,5.5,46.5,24.0,-10.0,22.5,-15.5,5.457142857142857,24.021428571428572,-10.021428571428572,22.478571428571428,-15.478571428571428,-116.0,0.5370370370370371,1,regular
OHIO STATE,3,,True,BIG 10,2,Grambling State,70,0,-55.5,-112,-59.199999999999996,14.5,62.5,59.0,11.0,3.5,-3.5,10.800000000000004,60.849999999999994,9.150000000000006,1.6500000000000021,-1.6500000000000021,,,2,regular
OHIO STATE,3,,True,BIG 10,3,Ohio,37,9,-28.0,-116,-30.933333333333337,0.0,49.5,38.75,-1.75,10.75,-1.75,-2.933333333333337,40.21666666666667,-3.2166666666666686,9.283333333333331,-0.28333333333333144,-7445.0,0.9867461895294898,3,regular
OHIO STATE,3,,True,BIG 10,5,Washington,24,6,-9.5,-115,-10.404761904761905,8.5,53.5,31.5,-7.5,22.0,-16.0,7.595238095238095,31.952380952380953,-7.9523809523809526,21.547619047619047,-15.547619047619047,-369.0,0.7867803837953091,5,regular
OHIO STATE,3,,True,BIG 10,6,Minnesota,42,3,-23.5,-113,-25.290476190476188,15.5,43.0,33.25,8.75,9.75,-6.75,13.709523809523812,34.14523809523809,7.854761904761908,8.854761904761906,-5.854761904761906,-3627.0,0.9731687684464717,6,regular
OHIO STATE,3,,True,BIG 10,7,Illinois,34,16,-14.5,-110,-15.190476190476192,3.5,51.5,33.0,1.0,18.5,-2.5,2.8095238095238084,33.345238095238095,0.6547619047619051,18.154761904761905,-2.154761904761905,-704.0,0.8756218905472637,7,regular
OHIO STATE,3,,True,BIG 10,8,Wisconsin,34,0,-25.0,-109,-25.952380952380956,9.0,41.0,33.0,1.0,8.0,-8.0,8.047619047619044,33.47619047619048,0.5238095238095184,7.523809523809522,-7.523809523809522,-6514.0,0.9848805563955246,8,regular
OHIO STATE,3,,True,BIG 10,10,Penn State,38,14,-17.5,-109,-18.166666666666668,6.5,44.5,31.0,7.0,13.5,0.5,5.833333333333332,31.333333333333336,6.666666666666664,13.166666666666666,0.8333333333333339,-1281.0,0.9275887038377987,10,regular
OHIO STATE,3,,True,BIG 10,11,Purdue,34,10,-29.5,-113,-31.747619047619047,-5.5,49.5,39.5,-5.5,10.0,0.0,-7.747619047619047,40.62380952380953,-6.623809523809527,8.876190476190477,1.1238095238095234,-9500.0,0.9895833333333334,11,regular
OHIO STATE,3,,True,BIG 10,12,UCLA,48,10,-33.5,-113,-36.05238095238095,4.5,46.5,40.0,8.0,6.5,3.5,1.9476190476190496,41.27619047619048,6.723809523809521,5.223809523809525,4.776190476190475,-9333.0,0.9893989186897063,12,regular
OHIO STATE,3,,True,BIG 10,13,Rutgers,42,9,-28.5,-110,-29.857142857142858,4.5,54.5,41.5,0.5,13.0,-4.0,3.1428571428571423,42.17857142857143,-0.1785714285714306,12.321428571428571,-3.321428571428571,-10000.0,0.9900990099009901,13,regular
OHIO STATE,3,,True,BIG 10,14,Michigan,27,9,-9.5,-116,-10.495238095238095,8.5,43.0,26.25,0.75,16.75,-7.75,7.504761904761905,26.747619047619047,0.25238095238095326,16.252380952380953,-7.252380952380953,-396.0,0.7983870967741935,14,regular
OHIO STATE,3,,True,BIG 10,15,Indiana,10,13,-3.5,-111,-3.7,-6.5,45.5,24.5,-14.5,21.0,-8.0,-6.7,24.6,-14.600000000000001,20.9,-7.899999999999999,-185.0,0.6491228070175439,15,regular
TEXAS TECH,4,,True,BIG 12,1,Arkansas-Pine Bluff,67,7,-54.5,-119,-61.766666666666666,5.5,63.5,59.0,8.0,4.5,2.5,-1.7666666666666657,62.63333333333333,4.366666666666667,0.8666666666666671,6.133333333333333,-200.0,0.6666666666666666,1,regular
TEXAS TECH,4,,True,BIG 12,2,Kent State,62,14,-48.5,-102,-47.114285714285714,-0.5,59.5,54.0,8.0,5.5,8.5,0.8857142857142861,53.30714285714286,8.692857142857143,6.192857142857143,7.807142857142857,,,2,regular
TEXAS TECH,4,,True,BIG 12,3,Oregon State,45,14,-24.0,-111,-25.371428571428574,7.0,61.5,42.75,2.25,18.75,-4.75,5.628571428571426,43.43571428571428,1.5642857142857167,18.064285714285713,-4.064285714285713,-2752.0,0.9649368863955119,3,regular
TEXAS TECH,4,,True,BIG 12,4,Utah,34,10,3.5,-115,3.833333333333334,27.5,59.0,27.75,6.25,31.25,-21.25,27.833333333333336,27.583333333333332,6.416666666666668,31.416666666666668,-21.416666666666668,138.0,0.42016806722689076,4,regular
TEXAS TECH,4,,True,BIG 12,6,Houston,35,11,-13.5,-111,-14.271428571428572,10.5,51.5,32.5,2.5,19.0,-8.0,9.728571428571428,32.885714285714286,2.114285714285714,18.614285714285714,-7.614285714285714,-525.0,0.84,6,regular
TEXAS TECH,4,,True,BIG 12,7,Kansas,42,17,-14.0,-108,-14.399999999999999,11.0,58.5,36.25,5.75,22.25,-5.25,10.600000000000001,36.45,5.549999999999997,22.05,-5.050000000000001,-603.0,0.8577524893314367,7,regular
TEXAS TECH,4,,True,BIG 12,8,Arizona State,22,26,-7.5,-111,-7.928571428571429,-11.5,52.0,29.75,-7.75,22.25,3.75,-11.928571428571429,29.964285714285715,-7.964285714285715,22.035714285714285,3.9642857142857153,-306.0,0.7536945812807881,8,regular
TEXAS TECH,4,,True,BIG 12,9,Oklahoma State,42,0,-38.0,-113,-40.89523809523809,4.0,56.5,47.25,-5.25,9.25,-9.25,1.104761904761908,48.69761904761904,-6.6976190476190425,7.802380952380954,-7.802380952380954,,,9,regular
TEXAS TECH,4,,True,BIG 12,10,Kansas State,43,20,-7.5,-107,-7.642857142857142,15.5,51.5,29.5,13.5,22.0,-2.0,15.357142857142858,29.57142857142857,13.42857142857143,21.92857142857143,-1.9285714285714306,-288.0,0.7422680412371134,10,regular
TEXAS TECH,4,,True,BIG 12,11,BYU,29,7,-13.5,-110,-14.142857142857144,8.5,50.5,32.0,-3.0,18.5,-11.5,7.857142857142856,32.32142857142857,-3.3214285714285694,18.178571428571427,-11.178571428571427,-484.0,0.8287671232876712,11,regular
TEXAS TECH,4,,True,BIG 12,12,UCF,48,9,-24.5,-105,-24.5,14.5,48.5,36.5,11.5,12.0,-3.0,14.5,36.5,11.5,12.0,-3.0,-4150.0,0.9764705882352941,12,regular
TEXAS TECH,4,,True,BIG 12,14,West Virginia,49,0,-24.0,-110,-25.142857142857146,25.0,53.0,38.5,10.5,14.5,-14.5,23.857142857142854,39.07142857142857,9.92857142857143,13.928571428571427,-13.928571428571427,-2750.0,0.9649122807017544,14,regular
