team,ap_rank,coaches_rank,playoffs,conference,games_played,avg_week_label,avg_opponent,avg_pf,avg_pa,avg_unweighted_spread,avg_unweighted_odds,avg_weighted_spread,avg_unw_pd_vs_spread,avg_total_ou,avg_unw_team_ou,avg_unw_pd_vs_team_ou,avg_unw_opp_ou,avg_unw_pd_vs_opp_ou,avg_w_pd_vs_spread,avg_weighted_team_ou,avg_w_pd_vs_team_ou,avg_weighted_opp_ou,avg_w_pd_vs_opp_ou,avg_moneyline,avg_implied_win_pct
OREGON,1,1,True,BIG 10,13,,,35.92307692307692,17.76923076923077,-19.423076923076923,-110.53846153846153,-20.42527472527473,-1.2692307692307692,53.92307692307692,36.67307692307692,-0.75,17.25,0.5192307692307693,-2.2714285714285714,37.174175824175826,-1.2510989010989007,16.748901098901097,1.0203296703296707,-3080.6153846153848,0.8698348638322382
GEORGIA,2,2,True,SEC,13,,,33.15384615384615,20.384615384615383,-17.03846153846154,-110.84615384615384,-18.104761904761904,-4.269230769230769,52.61538461538461,34.82692307692308,-1.6730769230769231,17.78846153846154,2.5961538461538463,-5.335531135531135,35.36007326007326,-2.2062271062271055,17.255311355311356,3.129304029304029,-4959.538461538462,0.7866241578296426
NOTRE DAME,3,3,True,Independent,12,,,39.833333333333336,13.583333333333334,-15.291666666666666,-111.66666666666667,-16.198809523809526,10.958333333333334,47.208333333333336,31.25,8.583333333333334,15.958333333333334,-2.375,10.051190476190476,31.703571428571433,8.129761904761905,15.504761904761907,-1.921428571428571,-1874.0,0.8368625640751213
TEXAS,4,4,True,SEC,13,,,33.61538461538461,11.692307692307692,-21.384615384615383,-110.38461538461539,-22.554212454212458,0.5384615384615384,52.46153846153846,36.92307692307692,-3.3076923076923075,15.538461538461538,-3.8461538461538463,-0.6311355311355314,37.50787545787546,-3.8924908424908433,14.953663003663,-3.2613553113553104,-6518.461538461538,0.8595372896619924
PENN STATE,5,5,True,BIG 10,13,,,33.61538461538461,16.384615384615383,-17.307692307692307,-109.6923076923077,-18.293772893772893,-0.07692307692307693,49.80769230769231,33.55769230769231,0.057692307692307696,16.25,0.1346153846153846,-1.0630036630036632,34.050732600732594,-0.43534798534798497,15.756959706959707,0.6276556776556779,-4811.692307692308,0.8052519380395845
OHIO STATE,6,7,True,BIG 10,12,,,35.5,10.916666666666666,-24.458333333333332,-110.83333333333333,-25.84841269841269,0.125,50.291666666666664,37.375,-1.875,12.916666666666666,-2.0,-1.265079365079365,38.07003968253968,-2.570039682539682,12.221626984126987,-1.3049603174603173,-5083.75,0.8507028082349836
TENNESSEE,7,6,True,SEC,12,,,37.25,13.916666666666666,-17.708333333333332,-109.83333333333333,-18.61984126984127,5.625,55.0,36.354166666666664,0.8958333333333334,18.645833333333332,-4.729166666666667,4.713492063492064,36.80992063492064,0.44007936507936485,18.190079365079367,-4.273412698412699,-2282.0833333333335,0.740270294153908
BOISE STATE,8,8,True,Mountain West,13,,,39.07692307692308,21.923076923076923,-15.653846153846153,-110.76923076923077,-16.461904761904762,1.5,61.07692307692308,38.36538461538461,0.7115384615384616,22.71153846153846,-0.7884615384615384,0.6919413919413915,38.769413919413914,0.3075091575091574,22.30750915750916,-0.38443223443223434,-2933.0,0.814241198707889
INDIANA,9,9,True,BIG 10,12,,,43.333333333333336,14.666666666666666,-14.625,-109.58333333333333,-15.245634920634922,14.041666666666666,50.541666666666664,32.583333333333336,10.75,17.958333333333332,-3.2916666666666665,13.421031746031744,32.8936507936508,10.439682539682538,17.64801587301587,-2.981349206349206,-3231.9166666666665,0.7850980286889838
ASU,10,12,True,BIG 12,13,,,33.07692307692308,21.307692307692307,-0.38461538461538464,-110.53846153846153,-0.3794871794871795,11.384615384615385,52.92307692307692,26.653846153846153,6.423076923076923,26.26923076923077,-4.961538461538462,11.38974358974359,26.651282051282053,6.425641025641026,26.27179487179487,-4.964102564102564,-32.07692307692308,0.5323731506720077
ALABAMA,11,11,False,SEC,12,,,35.5,17.25,-17.541666666666668,-109.5,-18.434920634920633,0.7083333333333334,54.166666666666664,35.854166666666664,-0.3541666666666667,18.3125,-1.0625,-0.1849206349206344,36.30079365079364,-0.8007936507936503,17.865873015873017,-0.6158730158730167,-4222.5,0.8367536640407965
SMU,12,12,True,ACC,13,,,38.53846153846154,20.846153846153847,-13.0,-111.0,-13.843223443223444,4.6923076923076925,54.84615384615385,33.92307692307692,4.615384615384615,20.923076923076923,-0.07692307692307693,3.849084249084249,34.344688644688645,4.193772893772894,20.5014652014652,0.3446886446886447,-2375.923076923077,0.7641553525231962
CLEMSON,13,13,True,ACC,13,,,35.53846153846154,22.307692307692307,-14.076923076923077,-110.92307692307692,-14.960073260073257,-0.8461538461538461,54.11538461538461,34.09615384615385,1.4423076923076923,20.01923076923077,2.2884615384615383,-1.7293040293040294,34.53772893772894,1.0007326007326018,19.577655677655677,2.730036630036629,-2218.4615384615386,0.7774240803268169
SOUTH CAROLINA,14,14,False,SEC,12,,,31.583333333333332,17.833333333333332,-4.375,-109.91666666666667,-4.51468253968254,9.375,46.25,25.3125,6.270833333333333,20.9375,-3.1041666666666665,9.235317460317459,25.382341269841273,6.200992063492063,20.867658730158727,-3.034325396825396,-1979.4166666666667,0.5653902870670566
MIAMI,15,16,False,ACC,12,,,44.166666666666664,23.916666666666668,-18.666666666666668,-110.0,-19.561111111111114,1.5833333333333333,59.25,38.958333333333336,5.208333333333333,20.291666666666668,3.625,0.6888888888888882,39.40555555555556,4.761111111111111,19.844444444444445,4.072222222222223,-4179.083333333333,0.8564620891997158
OLE MISS,16,15,False,SEC,12,,,37.5,13.916666666666666,-19.875,-110.25,-21.00198412698413,3.7083333333333335,58.666666666666664,39.270833333333336,-1.7708333333333333,19.395833333333332,-5.479166666666667,2.581349206349207,39.8343253968254,-2.3343253968253967,18.83234126984127,-4.915674603174604,-5722.083333333333,0.8515063156722525
BYU,17,17,False,BIG 12,12,,,30.75,20.083333333333332,-2.2083333333333335,-111.41666666666667,-2.3511904761904763,8.458333333333334,48.541666666666664,25.375,5.375,23.166666666666668,-3.0833333333333335,8.315476190476192,25.446428571428573,5.303571428571428,23.09523809523809,-3.0119047619047628,-137.0,0.5765688411268216
IOWA STATE,18,19,False,BIG 12,13,,,30.23076923076923,21.53846153846154,-9.692307692307692,-110.76923076923077,-10.308424908424909,-1.0,48.84615384615385,29.26923076923077,0.9615384615384616,19.576923076923077,1.9615384615384615,-1.6161172161172166,29.577289377289375,0.6534798534798534,19.26886446886447,2.26959706959707,-967.2307692307693,0.7321961926289592
ARMY,19,18,False,AAC,12,,,32.916666666666664,15.0,-9.958333333333334,-110.83333333333333,-10.385317460317461,7.958333333333333,49.166666666666664,29.5625,3.3541666666666665,19.604166666666668,-4.604166666666667,7.531349206349208,29.775992063492065,3.1406746031746025,19.390674603174606,-4.390674603174603,-2355.5833333333335,0.7248630891069062
COLORADO,20,22,False,BIG 12,12,,,34.5,22.0,-3.0,-92.25,-3.763888888888889,9.5,57.125,30.0625,4.4375,27.0625,-5.0625,8.73611111111111,30.444444444444443,4.055555555555555,26.680555555555557,-4.680555555555556,-166.5,0.6044174277416475
ILLINOIS,21,21,False,BIG 10,12,,,28.916666666666668,22.083333333333332,-1.2916666666666667,-109.75,-1.2416666666666674,5.541666666666667,48.5,24.895833333333332,4.020833333333333,23.604166666666668,-1.5208333333333333,5.591666666666666,24.870833333333334,4.045833333333333,23.629166666666666,-1.5458333333333332,-665.25,0.5277153951593664
SYRACUSE,22,25,False,ACC,12,,,32.583333333333336,28.666666666666668,-2.1666666666666665,-111.25,-2.2996031746031735,1.75,56.166666666666664,29.166666666666668,3.4166666666666665,27.0,1.6666666666666667,1.6170634920634928,29.23313492063492,3.3501984126984126,26.933531746031747,1.733134920634921,-648.75,0.5504959624213225
MISSOURI,23,20,False,SEC,12,,,29.083333333333332,20.083333333333332,-10.458333333333334,-109.0,-10.939285714285717,-1.4583333333333333,51.166666666666664,30.8125,-1.7291666666666667,20.354166666666668,-0.2708333333333333,-1.9392857142857143,31.052976190476198,-1.9696428571428564,20.113690476190474,-0.030357142857142822,-2976.75,0.6689173120451747
UNLV,24,24,False,Mountain West,13,,,36.23076923076923,21.923076923076923,-8.73076923076923,-111.0,-9.167765567765569,5.576923076923077,57.19230769230769,32.96153846153846,3.269230769230769,24.23076923076923,-2.3076923076923075,5.139926739926739,33.18003663003663,3.0507326007326006,24.01227106227107,-2.0891941391941384,-1898.8461538461538,0.6751806486553268
