team,ap_rank,coaches_rank,playoffs,conference,games_played,avg_pf,avg_pa,avg_unweighted_spread,avg_unweighted_odds,avg_weighted_spread,avg_unw_pd_vs_spread,avg_total_ou,avg_unw_team_ou,avg_unw_pd_vs_team_ou,avg_unw_opp_ou,avg_unw_pd_vs_opp_ou,avg_w_pd_vs_spread,avg_weighted_team_ou,avg_w_pd_vs_team_ou,avg_weighted_opp_ou,avg_w_pd_vs_opp_ou,avg_moneyline,avg_implied_win_pct,avg_week
INDIANA,1,,True,BIG 10,13,41.92307692307692,10.846153846153847,-19.846153846153847,-109.76923076923077,-20.752014652014655,11.23076923076923,50.92307692307692,35.38461538461539,6.538461538461538,15.538461538461538,-4.6923076923076925,10.324908424908426,35.83754578754579,6.085531135531135,15.085531135531138,-4.239377289377289,-3147.2727272727275,0.811169342237724,7.769230769230769
GEORGIA,2,,True,SEC,13,31.923076923076923,15.923076923076923,-15.76923076923077,-109.61538461538461,-16.395238095238096,0.23076923076923078,52.53846153846154,34.15384615384615,-2.230769230769231,18.384615384615383,-2.4615384615384617,-0.3952380952380948,34.46684981684982,-2.543772893772893,18.07161172161172,-2.1485347985347993,-1278.4545454545455,0.7412365213564183,8.23076923076923
OHIO STATE,3,,True,BIG 10,13,34.92307692307692,8.153846153846153,-21.5,-111.92307692307692,-22.96410256410256,5.269230769230769,48.53846153846154,35.01923076923077,-0.09615384615384616,13.51923076923077,-5.365384615384615,3.805128205128204,35.751282051282054,-0.8282051282051289,12.787179487179488,-4.633333333333332,-4122.5,0.8740345579420553,8.23076923076923
TEXAS TECH,4,,True,BIG 12,13,42.46153846153846,10.923076923076923,-21.46153846153846,-110.3076923076923,-22.554578754578756,10.076923076923077,55.07692307692308,38.26923076923077,4.1923076923076925,16.807692307692307,-5.884615384615385,8.983882783882784,38.81575091575091,3.645787545787546,16.261172161172162,-5.338095238095239,-1133.3636363636363,0.8055524744503223,7.846153846153846
OREGON,5,,True,BIG 10,12,38.166666666666664,14.833333333333334,-17.833333333333332,-111.33333333333333,-18.863492063492064,5.5,52.333333333333336,35.083333333333336,3.0833333333333335,17.25,-2.4166666666666665,4.46984126984127,35.5984126984127,2.568253968253968,16.734920634920634,-1.9015873015873017,-3078.8,0.817161367080457,7.416666666666667
OLE MISS,6,,True,SEC,12,37.25,20.083333333333332,-13.5,-110.75,-14.021825396825397,3.6666666666666665,57.833333333333336,35.666666666666664,1.5833333333333333,22.166666666666668,-2.0833333333333335,3.144841269841269,35.92757936507936,1.3224206349206336,21.905753968253972,-1.8224206349206347,-838.3,0.6890903294552038,7.166666666666667
TEXAS A&M,7,,True,SEC,12,36.333333333333336,21.916666666666668,-14.458333333333334,-109.58333333333333,-15.11468253968254,-0.041666666666666664,53.333333333333336,33.895833333333336,2.4375,19.4375,2.4791666666666665,-0.6980158730158738,34.22400793650793,2.109325396825396,19.109325396825398,2.8073412698412703,-2234.0,0.7384919940783761,7.583333333333333
OKLAHOMA,8,,True,SEC,12,26.416666666666668,13.916666666666666,-11.333333333333334,-109.25,-11.834126984126984,1.1666666666666667,48.083333333333336,29.708333333333332,-3.2916666666666665,18.375,-4.458333333333333,0.6658730158730157,29.95873015873016,-3.5420634920634924,18.124603174603177,-4.207936507936508,-371.9,0.6387508232445399,7.416666666666667
NOTRE DAME,9,,True,Independent,12,42.0,17.583333333333332,-20.0,-109.75,-20.915079365079364,4.416666666666667,55.208333333333336,37.604166666666664,4.395833333333333,17.604166666666668,-0.020833333333333332,3.501587301587303,38.06170634920635,3.9382936507936517,17.146626984126986,0.4367063492063485,-3622.090909090909,0.8596672172755699,7.833333333333333
MIAMI FL,10,,True,ACC,12,34.083333333333336,13.833333333333334,-16.458333333333332,-112.16666666666667,-17.592063492063495,3.7916666666666665,51.75,34.104166666666664,-0.020833333333333332,17.645833333333332,-3.8125,2.6579365079365083,34.671031746031744,-0.5876984126984128,17.078968253968256,-3.2456349206349215,-1287.1,0.7807401976104729,7.75
ALABAMA,11,,True,SEC,13,31.23076923076923,17.384615384615383,-13.346153846153847,-110.92307692307692,-14.114652014652014,0.5,50.92307692307692,32.13461538461539,-0.9038461538461539,18.78846153846154,-1.4038461538461537,-0.2684981684981685,32.518864468864464,-1.2880952380952375,18.404212454212452,-1.0195970695970697,-366.90909090909093,0.7305048864347882,8.153846153846153
BYU,12,,True,BIG 12,13,31.923076923076923,19.0,-6.846153846153846,-112.0,-7.403663003663005,6.076923076923077,50.07692307692308,28.46153846153846,3.4615384615384617,21.615384615384617,-2.6153846153846154,5.51941391941392,28.740293040293043,3.182783882783883,21.336630036630034,-2.3366300366300368,-344.25,0.6043898582321426,8.23076923076923
VANDERBILT,13,,False,SEC,12,39.416666666666664,21.916666666666668,-7.0,-111.0,-7.334920634920635,10.5,52.208333333333336,29.604166666666668,9.8125,22.604166666666668,-0.6875,10.165079365079366,29.771626984126982,9.645039682539682,22.43670634920635,-0.5200396825396835,-630.8181818181819,0.5951776048598412,7.166666666666667
TEXAS,14,,False,SEC,12,29.583333333333332,19.75,-12.333333333333334,-110.25,-13.007539682539681,-2.5,49.458333333333336,30.895833333333332,-1.3125,18.5625,1.1875,-3.1742063492063486,31.232936507936504,-1.6496031746031738,18.225396825396825,1.5246031746031743,-167.33333333333334,0.6260871343239645,7.416666666666667
UTAH,15,,False,BIG 12,12,41.083333333333336,18.666666666666668,-14.0,-109.66666666666667,-14.638492063492064,8.416666666666666,52.416666666666664,33.208333333333336,7.875,19.208333333333332,-0.5416666666666666,7.778174603174603,33.52757936507937,7.55575396825397,18.889087301587303,-0.2224206349206351,-712.7272727272727,0.7953380514102512,7.333333333333333
USC,16,,False,BIG 10,12,36.5,22.416666666666668,-11.708333333333334,-112.16666666666667,-12.502777777777778,2.375,57.916666666666664,34.8125,1.6875,23.104166666666668,-0.6875,1.5805555555555548,35.20972222222222,1.290277777777778,22.706944444444446,-0.2902777777777776,-1499.75,0.7334362809789602,7.5
TULANE,17,,False,American,13,29.076923076923077,22.615384615384617,-7.576923076923077,-109.92307692307692,-7.993040293040293,-1.1153846153846154,54.03846153846154,30.807692307692307,-1.7307692307692308,23.23076923076923,-0.6153846153846154,-1.531501831501831,31.015750915750917,-1.9388278388278386,23.02271062271062,-0.40732600732600727,-1149.5384615384614,0.6867266980933937,8.076923076923077
MICHIGAN,18,,False,BIG 10,12,27.583333333333332,18.666666666666668,-10.625,-109.91666666666667,-11.181746031746032,-1.7083333333333333,46.75,28.6875,-1.1041666666666667,18.0625,0.6041666666666666,-2.2650793650793655,28.96587301587301,-1.3825396825396823,17.78412698412698,0.8825396825396825,-1369.5,0.7176548919261104,7.416666666666667
